date,city,temperature_c,humidity_percent,wind_speed_kmh,condition,pressure_hpa
2024-01-15,New York,2.5,65,15,Cloudy,1015
2024-01-15,Los Angeles,18.2,45,8,Sunny,1012
2024-01-15,Chicago,-3.8,72,22,Snow,1008
2024-01-15,Miami,24.6,58,12,Partly Cloudy,1013
2024-01-15,Seattle,6.3,81,10,Rain,1009
2024-01-16,New York,-1.2,68,18,Snow,1014
2024-01-16,Los Angeles,19.8,42,6,Sunny,1011
2024-01-16,Chicago,-5.4,75,25,Snow,1007
2024-01-16,Miami,25.3,55,9,Sunny,1012
2024-01-16,Seattle,5.1,85,14,Rain,1010
2024-01-17,New York,4.7,62,12,Partly Cloudy,1016
2024-01-17,Los Angeles,21.5,38,5,Sunny,1013
2024-01-17,Chicago,-2.1,70,16,Cloudy,1011
2024-01-17,Miami,26.8,52,7,Sunny,1014
2024-01-17,Seattle,7.9,78,8,Cloudy,1012
